year,month,route_id,route_name,congestion_index,supplier_reliability,weight_class,base_transit_days,cost_index,actual_transit_days,delay_days,delay_flag
2023,1,colombo_express,Colombo Express,0.9,0.78,heavy,17,1.0,17.4,0.4,0
2023,1,colombo_express,Colombo Express,0.9,0.87,heavy,17,1.0,17.5,0.5,0
2023,1,colombo_express,Colombo Express,0.9,0.72,heavy,17,1.0,16.8,-0.2,0
2023,1,colombo_express,Colombo Express,0.9,0.74,light,17,1.0,16.8,-0.2,0
2023,1,colombo_express,Colombo Express,0.9,0.78,standard,17,1.0,15.3,-1.7,0
2023,1,colombo_express,Colombo Express,0.9,0.57,heavy,17,1.0,15.0,-2.0,0
2023,1,singapore_transship,Singapore Transship,1.25,0.89,heavy,21,1.08,23.5,2.5,0
2023,1,singapore_transship,Singapore Transship,1.25,0.62,standard,21,1.08,22.7,1.7,0
2023,1,singapore_transship,Singapore Transship,1.25,0.55,standard,21,1.08,23.7,2.7,0
2023,1,singapore_transship,Singapore Transship,1.25,0.74,heavy,21,1.08,27.3,6.3,1
2023,1,singapore_transship,Singapore Transship,1.25,0.58,light,21,1.08,27.3,6.3,1
2023,1,singapore_transship,Singapore Transship,1.25,0.77,standard,21,1.08,24.0,3.0,0
2023,1,port_klang_link,Port Klang Link,1.15,0.61,standard,19,1.04,24.0,5.0,0
2023,1,port_klang_link,Port Klang Link,1.15,0.77,heavy,19,1.04,22.1,3.1,0
2023,1,port_klang_link,Port Klang Link,1.15,0.71,standard,19,1.04,22.4,3.4,0
2023,1,port_klang_link,Port Klang Link,1.15,0.63,light,19,1.04,17.4,-1.6,0
2023,1,port_klang_link,Port Klang Link,1.15,0.8,standard,19,1.04,20.8,1.8,0
2023,1,port_klang_link,Port Klang Link,1.15,0.76,light,19,1.04,19.2,0.2,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.75,light,15,1.15,13.4,-1.6,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.69,light,15,1.15,16.1,1.1,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.87,standard,15,1.15,15.2,0.2,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.56,standard,15,1.15,13.0,-2.0,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.91,light,15,1.15,18.3,3.3,0
2023,1,jebel_ali_gulf,Jebel Ali Gulf Route,0.85,0.68,standard,15,1.15,16.8,1.8,0
2023,2,colombo_express,Colombo Express,0.85,0.74,standard,17,1.0,15.7,-1.3,0
